stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150102,RCY,LI	4.5 	3.2 	1.9 	3 	2.3 	2.6 	7 	6.6 	6.8 	16.9 	20.9 	18.3 
DOM,PC,W150102,RCY,LT	26.7 	28.5 	32.6 	35.9 	38.4 	38.9 	38.9 	42.9 	51.2 	54.8 	74.4 	74.2 
DOM,PC,W150102,RCY,LU	31.8 	38.7 	29.7 	24.6 	31 	33.2 	36.7 	32.2 	32.3 	31.9 	30.8 	33.4 
DOM,PC,W150102,RCY,LV	26.7 	22.8 	17.6 	20.3 	24 	23 	24 	24.5 	36.4 	35.3 	37.2 	36.6 
DOM,PC,W150102,RCY,MT	7.4 	10.6 	14 	50.9 	22 	28.9 	32.8 	22.6 	32.9 	28.6 	23.5 	19.2 
DOM,PC,W150102,RCY,NL	32.5 	33.7 	36.4 	38.4 	47.6 	50.7 	47.7 	46.6 	50.6 	49.8 	51.5 	50.4 
DOM,PC,W150102,RCY,NO	29.9 	29.8 	26.7 	30 	36.4 	37.6 	38.1 	38.8 	36.1 	37.1 	39.3 	36.1 
DOM,PC,W150102,RCY,PL	24.6 	27.9 	23.7 	21.3 	20.1 	22.5 	21.9 	19.7 	28.3 	30.8 	46.9 	34.6 
DOM,PC,W150102,RCY,PT	15.4 	15.3 	19.1 	25.5 	24.5 	26.1 	30.4 	35.3 	40 	43 	41.8 	34.9 
DOM,PC,W150102,RCY,RO	17 	15.3 	15.5 	23.8 	28.2 	40.3 	51.3 	51.7 	44.5 	46.7 	46.5 	47.6 
DOM,PC,W150102,RCY,SE	43.8 	41.7 	37 	37.5 	32.4 	34.1 	34.9 	45.6 	47.5 	49 	50.7 	48.4 
DOM,PC,W150102,RCY,SI	38.6 	46.5 	55.6 	42 	67.3 	75.5 	64.8 	81.7 	69.3 	63.4 	62 	60.4 
DOM,PC,W150102,RCY,SK	39.7 	41.7 	43.7 	49.3 	44.9 	49.9 	57 	55.1 	55.9 	54.4 	51.7 	52.4 
