stk_flow,unit,waste,wst_oper,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
DOM,PC,W150107,RCV,LU	92.8 	92.1 	92.2 	92.5 	93.8 	94.4 	94.6 	94.8 	94.5 	98.2 	98.3 	98.4 
DOM,PC,W150107,RCV,LV	32.1 	35.4 	53 	44.4 	47.6 	51.6 	55.1 	56 	61.4 	61.2 	65 	65.5 
DOM,PC,W150107,RCV,MT	14.3 	16.6 	142.5 	9 	6.7 	26.7 	22 	49.1 	31.2 	20.3 	29.5 	28.6 
DOM,PC,W150107,RCV,NL	83.6 	85.7 	87 	91.8 	91.3 	82.8 	71.3 	79.8 	80.1 	82.7 	84.4 	86.2 
DOM,PC,W150107,RCV,NO	106.4 	99.3 	100.9 	85.7 	91.8 	87.4 	87.6 	86.2 	87.8 	86.8 	89.4 	83.5 
DOM,PC,W150107,RCV,PL	34.4 	39.7 	43.8 	41.9 	45.6 	45.9 	51.2 	45.9 	62.8 	57.2 	59.6 	63 
DOM,PC,W150107,RCV,PT	46 	45.9 	51.8 	55.3 	56.6 	59.7 	59.6 	55.7 	56.4 	55.2 	58.5 	49 
DOM,PC,W150107,RCV,RO	7.5 	16.6 	34.7 	48.2 	56.8 	60 	66.3 	49.2 	54.2 	41.1 	64.1 	63 
DOM,PC,W150107,RCV,SE	91.4 	94.5 	93.5 	90.4 e	92.9 	91.9 	88.2 	89 	94.7 	93.6 	92.8 	93 
DOM,PC,W150107,RCV,SI	38.1 	41.8 	79.8 	52.4 	75.1 	82.3 	87.3 	85.9 	99.3 	98.5 	100.2 	98.5 
DOM,PC,W150107,RCV,SK	15.6 	56 	47.8 	51.7 	55.7 	63.9 	69.4 	72.9 	67.7 	66.2 	62.2 	68.7 
DOM,PC,W150107,RCV,UK	51.4 	55.2 	61.3 	61.7 	60.7 	63.9 	67.8 	68.3 	67.2 	65.7 	66.9 	67.6 
DOM,PC,W150199,RCV,AT	97.4 	96.4 	96.1 	97.4 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150199,RCV,BE	55.6 	60.5 	55.5 	64.2 	63.4 	71.3 	73.1 	72.1 	90 	90.2 	95.1 	92.1 
DOM,PC,W150199,RCV,BG	2.7 	4.1 	0 	: 	1.4 	0 	0.3 	0 	8.7 	10 	0.9 	8.4 
DOM,PC,W150199,RCV,CY	0 	0 	0.2 	0.2 	3.2 	2.6 	1.6 	3.4 	2.1 	1.3 	5.2 	0.1 
DOM,PC,W150199,RCV,CZ	6.2 	6 	9.8 	13.8 	13.7 	3.5 	14.4 	17 	15.6 	15.4 	18.4 	17.4 
DOM,PC,W150199,RCV,DE	45.5 	77.1 	75 	75.5 	74.9 	98.3 	82.5 	82.4 	78.7 	79.1 	80.3 	95.8 
DOM,PC,W150199,RCV,DK	97 	97 	97 	97 	97 e	97 	97 	97 	97.5 	97 	97 	97 
DOM,PC,W150199,RCV,EL	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,ES	1.3 	1.6 	1.8 	2 	0 	2.5 	2.1 	4.5 	0 	4.2 	3.9 	4.6 
DOM,PC,W150199,RCV,FI	0 	0 	0.1 	0.2 	0 	0 	0 	: 	: 	: 	: 	: 
DOM,PC,W150199,RCV,FR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,HR	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,HU	5.4 	2.1 	2.1 	30.8 	39.7 	50.8 	82.5 	44.7 	9.8 	0 	0 	0 
DOM,PC,W150199,RCV,IE	4.1 	18.5 	16.5 s	68.9 	85.1 	75.3 	0 	0 	1.3 	6.2 	7.3 	23.2 
DOM,PC,W150199,RCV,LI	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
DOM,PC,W150199,RCV,LT	4.7 	3.4 	4 	2.5 	2.6 	3.1 	40.5 	74.7 	56.1 	34 	93 	28.2 
DOM,PC,W150199,RCV,LU	79.1 	79.1 	81 	82.4 	75.4 	82.4 	80.6 	79.1 	77.4 	89.7 	90.2 	90.3 
DOM,PC,W150199,RCV,MT	0 	44.3 	0 	0 	27.1 	8.6 	26.9 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,NO	0 	0 	0 	0 	0 	0 	: 	0 	0 	15.8 	: 	4.4 
DOM,PC,W150199,RCV,PT	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DOM,PC,W150199,RCV,RO	15.8 	23.7 	61.1 	42.8 	0 	0 	0 	0 	0 	0 	38.7 	30 
DOM,PC,W150199,RCV,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
DOM,PC,W150199,RCV,SI	8.8 	88.4 	126.9 	0 	15.5 	82.8 	8 	745.7 	477.4 	6.5 	20.8 	68.2 
DOM,PC,W150199,RCV,SK	: 	: 	: 	13.5 	2.6 	44.5 	34.4 	37.6 	23.6 	13.7 	100.8 	20.1 
DOM,PC,W150199,RCV,UK	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
