unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,W01-05,SI	491806 	135511 	136409 	246381 	216629 	227873 	204670 
T,HAZ_NHAZ,TOTAL_HH,W01-05,SK	473880 	508904 	539852 	612731 	621312 	554383 	617028 
T,HAZ_NHAZ,TOTAL_HH,W01-05,TR	2419313 	10629 	1742717 	1744540 	1335719 	1494474 	1412198 
T,HAZ_NHAZ,TOTAL_HH,W01-05,UK	6689690 	6230749 	5715967 	3935292 	4453946 	4388940 	4800365 
T,HAZ_NHAZ,TOTAL_HH,W01-05,XK	: 	: 	: 	: 	6608 	834 	165 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,AT	9585586 	10891094 	10233755 	5932862 	5581141 	5825952 	6491363 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,BA	: 	: 	: 	: 	332687 	: 	: 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,BE	9714196 	14078621 	11085573 	16007766 	12045992 	13536038 	12768399 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,BG	886715 	944320 	1082985 	1708337 	1925085 	2370564 	2049372 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,CY	397440 	336702 	341539 	348898 	81198 	76359 	90233 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,CZ	4455269 	4075940 	4014192 	4322691 	4808611 	4500553 	5109310 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,DE	31333156 	30011978 	35341548 	34549788 	37283685 	38860736 	39380869 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,DK	2274155 	2535055 	2689448 	3371293 	3170919 	3528233 	3082193 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,EE	5340314 	3202610 	2399548 	1623569 	1492849 	1263107 	1143422 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,EL	1619759 	3367962 	3810004 	2653652 	2000459 	1125064 	2128339 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,ES	15766031 	13443748 	14287116 	11555976 	13352299 	12345888 	12559306 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,EU27_2020	198630000 	206690000 	202430000 	203790000 	199060000 	196510000 	203020000 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,EU28	239950000 	266880000 	258450000 	245900000 	240740000 	239940000 	246130000 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,FI	14967875 	16091979 	13965213 	14392794 	13456696 	5716157 	6280460 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,FR	32510885 	32733939 	34193400 	34330985 	33735163 	34499195 	34898422 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,HR	746167 	1764890 	559167 	832197 	781475 	904420 	982192 
T,HAZ_NHAZ,TOTAL_HH,W06_07A,HU	3835911 	2934102 	2659589 	3135064 	2936950 	3230318 	2790811 
