unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,EP_HH,W11,LT	2197 	273 	865 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,LU	967 	834 	815 	733 	346 	677 	621 
T,HAZ_NHAZ,EP_HH,W11,LV	0 	407 	0 	3533 	13992 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,ME	: 	: 	: 	: 	0 	: 	0 
T,HAZ_NHAZ,EP_HH,W11,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,MT	108 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,NL	7 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,NO	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,PL	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,PT	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,RO	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,RS	: 	: 	: 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,SE	83546 	87897 	85026 	85026 	83097 	82662 	87958 
T,HAZ_NHAZ,EP_HH,W11,SI	11559 	3891 	1967 	5658 	2437 	5 	12110 
T,HAZ_NHAZ,EP_HH,W11,SK	0 	499 	3926 	3714 	2373 	14904 	3371 
T,HAZ_NHAZ,EP_HH,W11,TR	0 	0 	5696 	36384 	98068 	25358 	: 
T,HAZ_NHAZ,EP_HH,W11,UK	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W11,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,AT	3 	10 	1718 	1146025 	1921 	1870 	1561 
T,HAZ_NHAZ,EP_HH,W12-13,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,EP_HH,W12-13,BE	870084 	557372 	101746 	691145 	716067 	613011 	470210 
T,HAZ_NHAZ,EP_HH,W12-13,BG	0 	0 	0 	0 	0 	3192 	435824 
T,HAZ_NHAZ,EP_HH,W12-13,CY	0 	0 	37179 	46397 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,CZ	7267 	302919 	25174 	36708 	18472 	21745 	20526 
T,HAZ_NHAZ,EP_HH,W12-13,DE	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,DK	78244 	63409 	132906 	249456 	24935 	17323 	11800 
T,HAZ_NHAZ,EP_HH,W12-13,EE	30550 	28327 	25608 	23156 	21731 	30954 	34531 
T,HAZ_NHAZ,EP_HH,W12-13,EL	0 	1111 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,ES	2520971 	1854334 	974931 	373386 	438952 	459629 	295142 
T,HAZ_NHAZ,EP_HH,W12-13,EU27_2020	4420000 	4200000 	4730000 	6090000 s	4990000 	4930000 	6020000 
T,HAZ_NHAZ,EP_HH,W12-13,EU28	4490000 	4840000 	5650000 	6280000 s	5010000 	4930000 	6020000 
T,HAZ_NHAZ,EP_HH,W12-13,FI	0 	290 	0 	0 	6765 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,FR	0 	0 	2597900 	2688758 	2782677 	2789498 	2806451 
T,HAZ_NHAZ,EP_HH,W12-13,HR	0 	57427 	0 	: 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,HU	48030 	0 	0 	3949 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,IE	0 	0 	: 	7505 	7647 	9371 	11464 
T,HAZ_NHAZ,EP_HH,W12-13,IS	0 	: 	: 	14681 	7823 	135302 	189233 
T,HAZ_NHAZ,EP_HH,W12-13,IT	0 	0 	517 	5185 	6056 	3943 	355294 
T,HAZ_NHAZ,EP_HH,W12-13,LI	: 	: 	0 	0 	293981 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,LT	4941 	13690 	26721 	15228 	53716 	58544 	56380 
T,HAZ_NHAZ,EP_HH,W12-13,LU	6022 	6363 	5667 	5963 	7484 	11425 	439600 
T,HAZ_NHAZ,EP_HH,W12-13,LV	0 	27015 	3257 	201907 	310464 	28656 	109978 
T,HAZ_NHAZ,EP_HH,W12-13,ME	: 	: 	: 	: 	0 	: 	8897 
T,HAZ_NHAZ,EP_HH,W12-13,MK	: 	: 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,MT	0 	998 	820 	0 	7431 	10288 	11574 
T,HAZ_NHAZ,EP_HH,W12-13,NL	611983 	596518 	570633 	519934 	525068 	512926 	534682 
T,HAZ_NHAZ,EP_HH,W12-13,NO	0 	344 	1164 	3005 	416 	2863 	4363 
T,HAZ_NHAZ,EP_HH,W12-13,PL	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,PT	0 	0 	0 	0 	0 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,RO	220839 	250289 	196013 	13729 	12584 	187409 	197461 
T,HAZ_NHAZ,EP_HH,W12-13,RS	: 	: 	: 	0 	0 	7542 	1414 
T,HAZ_NHAZ,EP_HH,W12-13,SE	0 	1760 	0 	0 	5222 	146543 	144018 
T,HAZ_NHAZ,EP_HH,W12-13,SI	22023 	411734 	13841 	32103 	32459 	12093 	69068 
T,HAZ_NHAZ,EP_HH,W12-13,SK	0 	22670 	15704 	28514 	11076 	9888 	14549 
T,HAZ_NHAZ,EP_HH,W12-13,TR	0 	0 	638179 	: 	: 	: 	: 
T,HAZ_NHAZ,EP_HH,W12-13,UK	70953 	644534 	921015 	188635 	21601 	0 	0 
T,HAZ_NHAZ,EP_HH,W12-13,XK	: 	: 	: 	: 	0 	0 	0 
