unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,B,TOTAL,XK	: 	: 	: 	: 	177185 	201246 	397689 
T,HAZ_NHAZ,C,TOTAL,AT	15072970 	11470174 	13076830 	2958490 	3636406 	5395577 	5641050 
T,HAZ_NHAZ,C,TOTAL,BA	: 	: 	: 	: 	1213475 	: 	: 
T,HAZ_NHAZ,C,TOTAL,BE	18177314 	15307573 	10090329 	14327418 	12956261 	14327120 	14703988 
T,HAZ_NHAZ,C,TOTAL,BG	5610655 	4316435 	3447004 	3306468 	3008673 	3274860 	3469171 
T,HAZ_NHAZ,C,TOTAL,CY	556908 	174399 	137925 	131587 	98033 	613080 	811535 
T,HAZ_NHAZ,C,TOTAL,CZ	8618191 	5932365 	5292547 	4202465 	4376398 	4394322 	4670643 
T,HAZ_NHAZ,C,TOTAL,DE	30162763 	31705197 	52304324 	48981040 	56595631 	61083247 	55911876 
T,HAZ_NHAZ,C,TOTAL,DK	1552640 	1642642 	1454489 	1552155 	1376849 	1083548 	1016093 
T,HAZ_NHAZ,C,TOTAL,EE	6288386 	3981123 	3771574 	3715887 	4120946 	4406853 	8876284 
T,HAZ_NHAZ,C,TOTAL,EL	4554175 	5284710 	5702706 	4940825 	4183313 	4894471 	4651217 
T,HAZ_NHAZ,C,TOTAL,ES	28377050 	22427334 	19368659 	16479926 	14594016 	14813850 	14269033 
T,HAZ_NHAZ,C,TOTAL,EU27_2020	333920000 	316650000 	315140000 	249410000 	242590000 	246520000 	250640000 
T,HAZ_NHAZ,C,TOTAL,EU28	368980000 	344810000 	337980000 	260370000 	254110000 	256970000 	262440000 
T,HAZ_NHAZ,C,TOTAL,FI	18612953 	17976517 	16948362 	15211273 	14531463 	10292934 	9350226 
T,HAZ_NHAZ,C,TOTAL,FR	21433660 	22972976 	21640260 	21587442 	21431337 	21796889 	22094813 
T,HAZ_NHAZ,C,TOTAL,HR	3695174 	2432653 	1726759 	634415 	422654 	484906 	444841 
T,HAZ_NHAZ,C,TOTAL,HU	5071285 	5528243 	3788947 	3134037 	2990939 	2699460 	2688266 
T,HAZ_NHAZ,C,TOTAL,IE	5356309 	4067355 	4025624 	3259089 	3988608 	3468052 	5285250 
T,HAZ_NHAZ,C,TOTAL,IS	61012 	: 	: 	88199 	93097 	200664 	262468 
T,HAZ_NHAZ,C,TOTAL,IT	39471517 	39997386 	43085763 	35927619 	26881601 	26519662 	27819564 
T,HAZ_NHAZ,C,TOTAL,LI	: 	: 	32728 	32123 	12459 	12306 	11544 
T,HAZ_NHAZ,C,TOTAL,LT	2632070 	2741360 	2757738 	2647996 	2551321 	2608734 	2740589 
T,HAZ_NHAZ,C,TOTAL,LU	722764 	604216 	672899 	867410 	509431 	285694 	759081 
T,HAZ_NHAZ,C,TOTAL,LV	349319 	569624 	501287 	374867 	395958 	244721 	491956 
T,HAZ_NHAZ,C,TOTAL,ME	: 	: 	: 	: 	33297 	60606 	31685 
T,HAZ_NHAZ,C,TOTAL,MK	: 	: 	1362466 	1017008 	1303809 	1485156 	722170 
T,HAZ_NHAZ,C,TOTAL,MT	10206 	9860 	17231 	9078 	24702 	24522 	27069 
T,HAZ_NHAZ,C,TOTAL,NL	16078032 	15690050 	15817768 	14094074 	14111372 	13452298 	13827776 
T,HAZ_NHAZ,C,TOTAL,NO	2956380 	3605398 	3689060 	2687220 	2639160 	1683243 	1567319 
T,HAZ_NHAZ,C,TOTAL,PL	61514382 	61130525 	56745686 	28617767 	31134971 	31431202 	30072076 
T,HAZ_NHAZ,C,TOTAL,PT	10126210 	10929056 	3574121 	2742663 	2596907 	2523889 	2546030 
T,HAZ_NHAZ,C,TOTAL,RO	11406245 	9092700 	11064034 	7696852 	6056617 	6744590 	7793780 
T,HAZ_NHAZ,C,TOTAL,RS	: 	: 	: 	1135357 	759824 	868864 	1282966 
T,HAZ_NHAZ,C,TOTAL,SE	12633970 	12750526 	11926805 	7822631 	6157952 	5725885 	5800174 
T,HAZ_NHAZ,C,TOTAL,SI	1960074 	2385279 	1734777 	1514112 	1344999 	1314785 	1429641 
T,HAZ_NHAZ,C,TOTAL,SK	3878305 	5527117 	4469017 	2668787 	2516482 	2613258 	3445801 
T,HAZ_NHAZ,C,TOTAL,TR	16324633 	0 	10735474 	: 	: 	: 	: 
T,HAZ_NHAZ,C,TOTAL,UK	35056299 	28161267 	22837155 	10963236 	11520853 	10455270 	11804249 
T,HAZ_NHAZ,C,TOTAL,XK	: 	: 	: 	: 	80132 	72986 	585213 
T,HAZ_NHAZ,D,TOTAL,AT	365184 	2017095 	568962 	453221 	621680 	531191 	516385 
T,HAZ_NHAZ,D,TOTAL,BA	: 	: 	: 	: 	3170717 	: 	: 
T,HAZ_NHAZ,D,TOTAL,BE	989669 e	1285396 e	1086721 	1209045 	1301037 	1112588 	780913 
T,HAZ_NHAZ,D,TOTAL,BG	7817053 	6669576 	7654555 	8032225 	9532587 	9105116 	9522952 
T,HAZ_NHAZ,D,TOTAL,CY	2414 	2881 	2110 	2913 	2177 	1932 	2112 
T,HAZ_NHAZ,D,TOTAL,CZ	5155432 	2510732 	1919860 	1540399 	1062881 	1012205 	889250 
T,HAZ_NHAZ,D,TOTAL,DE	9134082 	8468297 	11706681 	9087238 	8049687 	9975200 	10178630 
T,HAZ_NHAZ,D,TOTAL,DK	1336930 	1461810 	1358230 	945936 	935438 	1110652 	828109 
T,HAZ_NHAZ,D,TOTAL,EE	6148365 	5708161 	5423863 	6534457 	6257828 	7109650 	6083146 
T,HAZ_NHAZ,D,TOTAL,EL	12988820 	12985844 	11180698 	11028582 	12258683 	10887688 	2560211 
T,HAZ_NHAZ,D,TOTAL,ES	5897332 	7229469 	4872159 	2339062 	5772474 	5271536 	3874067 
T,HAZ_NHAZ,D,TOTAL,EU27_2020	88210000 	189190000 	86190000 	80990000 	91500000 	89860000 	77040000 
T,HAZ_NHAZ,D,TOTAL,EU28	95130000 	196060000 	91070000 	84010000 	96170000 	92620000 	78220000 
T,HAZ_NHAZ,D,TOTAL,FI	1572994 	1635908 	1531317 	1444619 	1010767 	1464124 	1097723 
T,HAZ_NHAZ,D,TOTAL,FR	840690 	1033680 	1004080 	992630 	2100130 	1587553 	1450796 
T,HAZ_NHAZ,D,TOTAL,HR	616134 	532377 	136461 	107741 	107649 	119581 	123839 
T,HAZ_NHAZ,D,TOTAL,HU	3331869 e	3981109 e	3050228 e	2718233 	2871522 	2311832 	2579182 
T,HAZ_NHAZ,D,TOTAL,IE	286494 	346767 e	291726 	333651 	374849 	321019 	316937 
T,HAZ_NHAZ,D,TOTAL,IS	0 	: 	: 	1625 	1675 	149 	403 
T,HAZ_NHAZ,D,TOTAL,IT	2466542 	3005458 	3089900 	2660218 	3616226 	3195283 	2687738 
T,HAZ_NHAZ,D,TOTAL,LI	: 	: 	256 	375 	422 	296 	0 
T,HAZ_NHAZ,D,TOTAL,LT	52324 	34022 	50645 	36314 	29033 	100987 	132566 
T,HAZ_NHAZ,D,TOTAL,LU	867 	1403 	1393 	2057 	2335 	3149 	5946 
T,HAZ_NHAZ,D,TOTAL,LV	18847 	26221 	20161 	24665 	132507 	727167 	287478 
T,HAZ_NHAZ,D,TOTAL,ME	: 	: 	: 	: 	351331 	368592 	305682 
T,HAZ_NHAZ,D,TOTAL,MK	: 	: 	: 	4346 	6443 	510073 	9 
T,HAZ_NHAZ,D,TOTAL,MT	0 	0 	0 	109 	1741 	3914 	2934 
T,HAZ_NHAZ,D,TOTAL,NL	1600210 	1372320 	1430696 	1274922 	1342442 	1671432 	2048155 
T,HAZ_NHAZ,D,TOTAL,NO	40956 	45285 	46328 	28265 	88581 	190658 	213304 
T,HAZ_NHAZ,D,TOTAL,PL	22069091 	22404356 	19541442 	20290801 	20706438 	21892195 	20512487 
T,HAZ_NHAZ,D,TOTAL,PT	814655 e	464834 e	193390 	295642 	400753 	174543 	90213 
T,HAZ_NHAZ,D,TOTAL,RO	325920 	102616494 	7058116 	5887590 	9042997 	7091832 	6864572 
T,HAZ_NHAZ,D,TOTAL,RS	: 	: 	: 	6020287 	5744350 	4477814 	5958748 
T,HAZ_NHAZ,D,TOTAL,SE	1103741 	1318464 	1508043 	1478523 	1851739 	1895399 	1861618 
T,HAZ_NHAZ,D,TOTAL,SI	1545745 	498570 	353639 	1388080 	1069074 	633319 	784343 
T,HAZ_NHAZ,D,TOTAL,SK	1733155 	1577183 	1150662 	877646 	1045757 	544004 	957776 
T,HAZ_NHAZ,D,TOTAL,TR	13209467 	16009808 	25525058 	18577831 	18423742 	24014436 	19341730 
T,HAZ_NHAZ,D,TOTAL,UK	6915342 	6872788 	4884533 	3025707 	4667205 	2769687 	1179381 
T,HAZ_NHAZ,D,TOTAL,XK	: 	: 	: 	: 	151325 	310 	1130805 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,AT	210409 	0 	687452 	331560 	323550 	287797 	285337 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,BE	: c	245053 e	936235 	2671394 	1510059 	1564385 	2086694 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,BG	1935 	0 	172508 	106682 	107880 	480545 	284342 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,CY	0 	4210 	15467 	24476 	20722 	18954 	12726 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,CZ	39959 	34298 	739961 	903749 	1245274 	754875 	816111 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,DE	761731 	791286 	971940 	802616 	1308675 	1927540 	2425829 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,DK	156161 e	154350 e	2197221 	233919 	163443 	153974 	152923 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,EE	1612 e	23 e	80902 	29628 	141914 	42511 	43480 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,EL	83401 	125977 	134000 	103866 	89978 	116300 	113420 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,ES	1012157 	1148048 	2464835 	1855534 	1861962 	1301974 	1855537 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,EU27_2020	5880000 	6740000 	21300000 	19590000 	23110000 	26010000 	26630000 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,EU28	7420000 	8560000 	22950000 	19820000 	24330000 	27190000 	27830000 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,FI	159209 	157721 	224935 	35974 	971852 	2022049 	1614265 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,FR	1063000 	1063000 	4310300 	4285146 	4167142 	5945181 	5658312 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,HR	15298 	745908 	399041 	570016 	35707 	34287 	17508 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,HU	139375 e	196462 	565547 e	540976 	649423 	933083 	623056 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,IE	42298 	75823 	172513 	419635 	218831 	474143 	117075 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,IS	1000 	: 	: 	3398 	3307 	904 	1005 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,IT	501148 e	492731 	2845931 	2588955 	6454923 	5930113 	6291407 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,LI	: 	: 	205851 	242501 	0 	1301 	1119 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,LT	40071 e	61355 	94073 	99143 	57866 	54939 	58197 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,LU	6778 e	7443 	33962 	12595 	14634 	21200 	25281 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,LV	26943 	13213 	68001 	77173 	87802 	76522 	42885 
T,HAZ_NHAZ,E36_E37_E39,TOTAL,ME	: 	: 	: 	: 	0 	11681 	5178 
